Transaction_ID,Customer_ID,Date,Time,Month,Quarter,Year,Week_Number,Day,Day_of_Week,Weekend,Category,Sub_Category,Description,Merchant,Merchant_Category,Transaction_Type,Amount,Currency,Payment_Mode,Account_Type,City,State,Country,Latitude,Longitude,Budget_Category,Income_Source,Expense_Tag,Recurring,Salary_Week,Holiday,Notes
TXN-100000,CUST-1005,2023-03-16,14:20:13,3,1,2023,11,16,Thursday,No,Mobile Recharge,Airtel Prepaid Recharge,Purchase at Jio Prepaid Recharge - Airtel Prepaid Recharge,Jio Prepaid Recharge,Mobile Recharge,Expense,93.68,INR,UPI,Current Account,Ahmedabad,GJ,India,23.019397,72.534228,Utilities,None,Discretionary,No,No,No,Routine purchase
TXN-100001,CUST-1001,2025-11-04,22:54:02,11,4,2025,45,4,Tuesday,No,Shopping,Myntra Clothing,Purchase at Reliance Digital Electronics - Myntra Clothing,Reliance Digital Electronics,Shopping,Expense,1032.79,INR,Credit Card,Credit Card,Pune,MH,India,18.535451,73.82639,Shopping,None,Discretionary,No,No,Yes,Diwali festival spend
TXN-100002,CUST-1004,2025-01-30,22:35:57,1,1,2025,5,30,Thursday,No,Miscellaneous,Charitable Donations,Purchase at HDFC ATM Cash Withdrawal - Charitable Donations,HDFC ATM Cash Withdrawal,Miscellaneous,Expense,5752.25,INR,Cash,Current Account,Delhi,DL,India,28.72418,77.034225,Miscellaneous,None,Discretionary,No,Yes,No,Routine purchase
TXN-100003,CUST-1001,2024-01-06,12:06:11,1,1,2024,1,6,Saturday,Yes,Travel,Uber Ride India,Purchase at Ola Cabs Ride - Uber Ride India,Ola Cabs Ride,Travel,Expense,1125.72,INR,Net Banking,Savings Account,Pune,MH,India,18.495369,73.849663,Travel,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100004,CUST-1001,2025-05-18,18:13:48,5,2,2025,20,18,Sunday,Yes,Freelancing,Data Analysis Consulting,Freelance project work - Data Analysis Consulting,Fiverr Client,Freelancing,Income,3423.07,INR,UPI,Savings Account,Pune,MH,India,18.450051,73.841349,Income,Freelance,None,No,No,No,Freelance invoice payment
TXN-100005,CUST-1003,2023-06-21,20:19:06,6,2,2023,25,21,Wednesday,No,Entertainment,Amazon Prime India Subscription,Purchase at Netflix India Plan - Amazon Prime India Subscription,Netflix India Plan,Entertainment,Expense,1259.29,INR,Credit Card,Credit Card,Mumbai,MH,India,19.064645,72.870612,Entertainment,None,Discretionary,No,No,No,Routine purchase
TXN-100006,CUST-1005,2023-06-30,13:29:21,6,2,2023,26,30,Friday,No,Dining,Swiggy Delivery,Purchase at Restaurant Dinner Bill - Swiggy Delivery,Restaurant Dinner Bill,Dining,Expense,426.3,INR,UPI,Current Account,Ahmedabad,GJ,India,23.036015,72.563547,Miscellaneous,None,Discretionary,No,Yes,No,Routine purchase
TXN-100007,CUST-1004,2024-03-07,11:28:25,3,1,2024,10,7,Thursday,No,Investment,Crypto Staking Reward,Investment statement credit,Zerodha Dividends,Investment,Income,6079.41,INR,Net Banking,Savings Account,Delhi,DL,India,28.665726,77.05522,Investments & Savings,Investment,None,No,No,No,Statement payout
TXN-100008,CUST-1004,2025-10-12,14:17:35,10,4,2025,41,12,Sunday,Yes,Milk,Daily Milk Delivery,Purchase at Country Delight Delivery - Daily Milk Delivery,Country Delight Delivery,Milk,Expense,1525.44,INR,UPI,Savings Account,Delhi,DL,India,28.671619,77.076175,Groceries,None,Essential,No,No,No,Leisure POS swipe
TXN-100009,CUST-1003,2024-03-29,14:59:30,3,1,2024,13,29,Friday,No,Dining,Swiggy Delivery,Purchase at Zomato Order - Swiggy Delivery,Zomato Order,Dining,Expense,1147.5,INR,Debit Card,Savings Account,Mumbai,MH,India,19.097131,72.777009,Miscellaneous,None,Discretionary,No,Yes,Yes,Ugadi festival spend
TXN-100010,CUST-1002,2024-11-28,17:06:12,11,4,2024,48,28,Thursday,No,UPI Payments,Google Pay UPI Transfer,Purchase at Google Pay P2P Transfer - Google Pay UPI Transfer,Google Pay P2P Transfer,UPI Payments,Expense,427.91,INR,UPI,Savings Account,Bangalore,KA,India,12.913776,77.596217,Miscellaneous,None,Discretionary,No,Yes,No,Routine purchase
TXN-100011,CUST-1004,2025-06-23,07:45:32,6,2,2025,26,23,Monday,No,Vegetables,Local Market Vegetables,Purchase at Reliance Smart Market - Local Market Vegetables,Reliance Smart Market,Vegetables,Expense,1626.09,INR,Cash,Savings Account,Delhi,DL,India,28.687331,77.158024,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100012,CUST-1003,2024-08-19,08:57:06,8,3,2024,34,19,Monday,No,Milk,Daily Milk Delivery,Purchase at Country Delight Delivery - Daily Milk Delivery,Country Delight Delivery,Milk,Expense,118.15,INR,UPI,Current Account,Mumbai,MH,India,19.053776,72.835402,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100013,CUST-1002,2023-09-10,08:00:00,9,3,2023,36,10,Sunday,Yes,EMI,Car Loan EMI,Loan EMI Installment - CUST-1002,HDFC Housing Loan EMI,Financial Services,Expense,20000.0,INR,Net Banking,Savings Account,Bangalore,KA,India,13.032525,77.616156,Debt Service,None,Fixed,Yes,No,Yes,Monthly Loan Installment Auto-debit
TXN-100014,CUST-1002,2024-05-19,18:35:51,5,2,2024,20,19,Sunday,Yes,Dining,Zomato Order,Purchase at Zomato Order - Zomato Order,Zomato Order,Dining,Expense,1131.26,INR,UPI,Current Account,Bangalore,KA,India,12.958653,77.583938,Miscellaneous,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100015,CUST-1001,2023-10-09,17:28:47,10,4,2023,41,9,Monday,No,UPI Payments,Paytm UPI Transfer,Purchase at Paytm UPI Pay - Paytm UPI Transfer,Paytm UPI Pay,UPI Payments,Expense,26.11,INR,Cash,Current Account,Pune,MH,India,18.530143,73.874117,Miscellaneous,None,Discretionary,No,No,No,Routine purchase
TXN-100016,CUST-1004,2025-05-28,10:30:00,5,2,2025,22,28,Wednesday,No,Mutual Fund SIP,HDFC Index Fund SIP,Mutual Fund Systemic Investment Plan - CUST-1004,Groww Direct Mutual Fund,Financial Services,Expense,150000.0,INR,Net Banking,Savings Account,Delhi,DL,India,28.744032,77.085235,Investments & Savings,None,Savings,Yes,Yes,No,Monthly mutual fund SIP accumulation
TXN-100017,CUST-1001,2025-06-26,15:57:53,6,2,2025,26,26,Thursday,No,Food,Zomato Order,Purchase at Zomato Order - Zomato Order,Zomato Order,Food,Expense,76.11,INR,Debit Card,Current Account,Pune,MH,India,18.527138,73.851524,Food & Dining,None,Discretionary,No,Yes,No,Routine purchase
TXN-100018,CUST-1003,2025-06-30,09:28:19,6,2,2025,27,30,Monday,No,Interest,Fixed Deposit Interest,Interest statement credit,ICICI Interest Credit,Interest,Income,16898.64,INR,Net Banking,Savings Account,Mumbai,MH,India,19.054533,72.824045,Income,Interest,None,No,Yes,No,Statement payout
TXN-100019,CUST-1001,2024-04-03,17:03:59,4,2,2024,14,3,Wednesday,No,UPI Payments,Paytm UPI Transfer,Purchase at Google Pay P2P Transfer - Paytm UPI Transfer,Google Pay P2P Transfer,UPI Payments,Expense,90.02,INR,Cash,Savings Account,Pune,MH,India,18.565135,73.847684,Miscellaneous,None,Discretionary,No,No,Yes,Ugadi festival spend
TXN-100020,CUST-1001,2024-04-11,21:36:56,4,2,2024,15,11,Thursday,No,Fuel,Petrol (Indian Oil),Purchase at Bharat Petroleum Outlet - Petrol (Indian Oil),Bharat Petroleum Outlet,Fuel,Expense,387.7,INR,UPI,Savings Account,Pune,MH,India,18.504015,73.814266,Transportation,None,Essential,No,No,No,Routine purchase
TXN-100021,CUST-1005,2024-04-04,12:43:59,4,2,2024,14,4,Thursday,No,Milk,Daily Milk Delivery,Purchase at Amul Milk Parlour - Daily Milk Delivery,Amul Milk Parlour,Milk,Expense,46.66,INR,UPI,Savings Account,Ahmedabad,GJ,India,23.003612,72.534422,Groceries,None,Essential,No,No,Yes,Ugadi festival spend
TXN-100022,CUST-1001,2023-05-23,18:11:56,5,2,2023,21,23,Tuesday,No,Vegetables,Online Vegetable Order,Purchase at Local Mandi Vendor - Online Vegetable Order,Local Mandi Vendor,Vegetables,Expense,43.29,INR,Cash,Current Account,Pune,MH,India,18.560933,73.895482,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100023,CUST-1001,2025-05-18,11:18:54,5,2,2025,20,18,Sunday,Yes,Freelancing,Data Analysis Consulting,Freelance project work - Data Analysis Consulting,Direct Consulting Project,Freelancing,Income,5342.66,INR,Net Banking,Savings Account,Pune,MH,India,18.513142,73.800399,Income,Freelance,None,No,No,No,Freelance invoice payment
TXN-100024,CUST-1001,2025-05-30,10:06:59,5,2,2025,22,30,Friday,No,Food,Restaurant Dining,Purchase at Local Restaurant Dining - Restaurant Dining,Local Restaurant Dining,Food,Expense,278.8,INR,UPI,Savings Account,Pune,MH,India,18.516232,73.909649,Food & Dining,None,Discretionary,No,Yes,No,Routine purchase
TXN-100025,CUST-1004,2024-04-09,12:51:06,4,2,2024,15,9,Tuesday,No,Shopping,Amazon India Shopping,Purchase at Myntra Apparel Purchase - Amazon India Shopping,Myntra Apparel Purchase,Shopping,Expense,12054.3,INR,Debit Card,Current Account,Delhi,DL,India,28.773272,77.042857,Shopping,None,Discretionary,No,No,No,Routine purchase
TXN-100026,CUST-1001,2023-01-09,10:49:52,1,1,2023,2,9,Monday,No,UPI Payments,Paytm UPI Transfer,Purchase at Paytm UPI Pay - Paytm UPI Transfer,Paytm UPI Pay,UPI Payments,Expense,145.66,INR,Cash,Current Account,Pune,MH,India,18.464404,73.886925,Miscellaneous,None,Discretionary,No,No,No,Routine purchase
TXN-100027,CUST-1003,2023-04-16,17:00:12,4,2,2023,15,16,Sunday,Yes,Travel,Ola Ride,Purchase at RedBus Ticket - Ola Ride,RedBus Ticket,Travel,Expense,28596.83,INR,UPI,Savings Account,Mumbai,MH,India,19.067231,72.902275,Travel,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100028,CUST-1002,2023-02-05,21:10:53,2,1,2023,5,5,Sunday,Yes,UPI Payments,Paytm UPI Transfer,Purchase at Paytm UPI Pay - Paytm UPI Transfer,Paytm UPI Pay,UPI Payments,Expense,1150.76,INR,UPI,Current Account,Bangalore,KA,India,12.957215,77.606644,Miscellaneous,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100029,CUST-1002,2023-11-08,20:25:48,11,4,2023,45,8,Wednesday,No,Dining,Swiggy Delivery,Purchase at Zomato Order - Swiggy Delivery,Zomato Order,Dining,Expense,859.43,INR,Credit Card,Credit Card,Bangalore,KA,India,12.957908,77.630684,Miscellaneous,None,Discretionary,No,No,Yes,Diwali festival spend
TXN-100030,CUST-1001,2024-09-14,12:16:23,9,3,2024,37,14,Saturday,Yes,Food,Restaurant Dining,Purchase at McDonalds India - Restaurant Dining,McDonalds India,Food,Expense,105.3,INR,Cash,Savings Account,Pune,MH,India,18.526769,73.863917,Food & Dining,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100031,CUST-1001,2025-10-03,16:43:59,10,4,2025,40,3,Friday,No,Fuel,Petrol (Indian Oil),Purchase at HP Petrol Station - Petrol (Indian Oil),HP Petrol Station,Fuel,Expense,409.08,INR,Credit Card,Credit Card,Pune,MH,India,18.540426,73.84856,Transportation,None,Essential,No,No,No,Routine purchase
TXN-100032,CUST-1003,2025-01-13,19:31:12,1,1,2025,3,13,Monday,No,Gold,Digital Gold,Purchase at Digital Gold Accumulation - Digital Gold,Digital Gold Accumulation,Gold,Expense,14583.85,INR,Net Banking,Current Account,Mumbai,MH,India,19.048771,72.902354,Investments & Savings,None,Savings,No,No,No,Routine purchase
TXN-100033,CUST-1004,2023-09-20,10:44:55,9,3,2023,38,20,Wednesday,No,Milk,Daily Milk Delivery,Purchase at Amul Milk Parlour - Daily Milk Delivery,Amul Milk Parlour,Milk,Expense,731.51,INR,UPI,Savings Account,Delhi,DL,India,28.751161,77.079151,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100034,CUST-1001,2023-06-20,22:55:21,6,2,2023,25,20,Tuesday,No,Groceries,Reliance Fresh Groceries,Purchase at BigBasket Online - Reliance Fresh Groceries,BigBasket Online,Groceries,Expense,191.69,INR,Credit Card,Credit Card,Pune,MH,India,18.448871,73.879055,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100035,CUST-1004,2023-03-01,07:12:55,3,1,2023,9,1,Wednesday,No,Vegetables,Online Vegetable Order,Purchase at Reliance Smart Market - Online Vegetable Order,Reliance Smart Market,Vegetables,Expense,1270.38,INR,UPI,Savings Account,Delhi,DL,India,28.652882,77.110079,Groceries,None,Essential,No,Yes,No,Routine purchase
TXN-100036,CUST-1002,2024-11-05,12:43:31,11,4,2024,45,5,Tuesday,No,Travel,Indigo Flight Booking,Purchase at IRCTC Ticket Booking - Indigo Flight Booking,IRCTC Ticket Booking,Travel,Expense,17270.46,INR,Credit Card,Credit Card,Bangalore,KA,India,13.000997,77.558266,Travel,None,Discretionary,No,No,Yes,Diwali festival spend
TXN-100037,CUST-1003,2023-04-11,22:31:02,4,2,2023,15,11,Tuesday,No,UPI Payments,PhonePe UPI Transfer,Purchase at Google Pay P2P Transfer - PhonePe UPI Transfer,Google Pay P2P Transfer,UPI Payments,Expense,2566.89,INR,Credit Card,Credit Card,Mumbai,MH,India,18.999121,72.870455,Miscellaneous,None,Discretionary,No,No,No,Routine purchase
TXN-100038,CUST-1003,2025-11-15,12:54:54,11,4,2025,46,15,Saturday,Yes,Travel,Ola Ride,Purchase at Uber India Cab - Ola Ride,Uber India Cab,Travel,Expense,43178.82,INR,Credit Card,Credit Card,Mumbai,MH,India,19.035337,72.858208,Travel,None,Discretionary,No,No,Yes,Diwali festival spend
TXN-100039,CUST-1001,2023-04-08,08:56:21,4,2,2023,14,8,Saturday,Yes,Shopping,Flipkart Shopping,Purchase at Ajio Fashion Cart - Flipkart Shopping,Ajio Fashion Cart,Shopping,Expense,490.07,INR,Credit Card,Credit Card,Pune,MH,India,18.504869,73.854057,Shopping,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100040,CUST-1003,2024-02-05,07:27:18,2,1,2024,6,5,Monday,No,Travel,Indigo Flight Booking,Purchase at IndiGo Flight Booking - Indigo Flight Booking,IndiGo Flight Booking,Travel,Expense,2103.63,INR,UPI,Current Account,Mumbai,MH,India,19.084275,72.926007,Travel,None,Discretionary,No,No,No,Routine purchase
TXN-100041,CUST-1003,2024-02-08,11:52:01,2,1,2024,6,8,Thursday,No,Fuel,HP Petrol Pump,Purchase at HP Petrol Station - HP Petrol Pump,HP Petrol Station,Fuel,Expense,2471.45,INR,Credit Card,Credit Card,Mumbai,MH,India,19.089702,72.864404,Transportation,None,Essential,No,No,No,Routine purchase
TXN-100042,CUST-1001,2024-03-05,10:22:09,3,1,2024,10,5,Tuesday,No,Vegetables,Local Market Vegetables,Purchase at Blinkit Vegetables - Local Market Vegetables,Blinkit Vegetables,Vegetables,Expense,21.98,INR,Cash,Savings Account,Pune,MH,India,18.53513,73.866595,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100043,CUST-1003,2024-04-06,10:46:16,4,2,2024,14,6,Saturday,Yes,Travel,Uber Ride India,Purchase at Ola Cabs Ride - Uber Ride India,Ola Cabs Ride,Travel,Expense,14882.17,INR,UPI,Savings Account,Mumbai,MH,India,19.058043,72.812677,Travel,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100044,CUST-1002,2025-11-05,11:00:00,11,4,2025,45,5,Wednesday,No,Electricity,Monthly Electricity Bill,Electricity Bill Payment - CUST-1002,BESCOM Bill,Utilities,Expense,3058.0,INR,UPI,Savings Account,Bangalore,KA,India,13.000604,77.615247,Utilities,None,Essential,Yes,No,Yes,Monthly power bill
